date,message
2022-01-03 13:11:19+00:00,"Dr. Skyr Connoisseur Bobb named the group The Bi-Curious Old Nerd Association Chat - #NerfJon2022."
2022-01-07 20:06:40+00:00,"Dr. Sparisjóður Giggi Wincest named the group The Bi-Curious Covid Having Old Nerd Association Chat - #NerfJon2022."
2022-01-16 21:22:18+00:00,"Dr. @Arnfinnur ekki mjög hávaxinn Kolbeinsdóttir named the group The Bi-Curious Covid Having Lazy Old Nerd Association Chat - #NerfJon2022."
2022-01-25 10:59:36+00:00,"Dr. NotSoSoulsLike 💀AFK LOSER 🥉a.k.a LongBalls💀 named the group sma reset boys nafnið verður langt og fyndið aftur bráðum."
2022-01-25 10:59:39+00:00,"Dr. Stavros Welcome Perkele named the group #Boycott @Arnfinnur."
2022-01-25 10:59:57+00:00,"Dr. Stavros Welcome Perkele named the group #Boycott @Arnfinnur?"
2022-01-25 10:59:57+00:00,"Dr. NotSoSoulsLike 💀AFK LOSER 🥉a.k.a LongBalls💀 named the group Bi-curious boys boycotta nfts."
2022-01-28 10:14:47+00:00,"Dr. Stavros Welcome Perkele named the group #Boycott Þreyta."
2022-02-17 11:34:37+00:00,"Dr. Poop zza Combobreaker named the group #Boycott Snjókomu."
2022-02-24 11:57:56+00:00,"Dr. 66° Rúsína Grafíkman named the group #Boycott Rússland."
2022-05-18 22:21:04+00:00,"Dr. Skyr Connoisseur Bobb named the group Hjálmar Fan Club #Boycott Tindastól."
2022-05-18 22:21:48+00:00,"Dr. 66° Rúsína Grafíkman named the group Hjálmar Fan Club #Boycott Tindastóll."
2022-07-31 12:42:11+00:00,"Dr. Vöðvar 'Yummy SlummyTyppagat' Cheesehater🧀🧀 named the group Beans Spiller Club #Boycott Secrets."
2022-08-23 10:04:23+00:00,"You named the group out on the phone, making the wrong face? no dad, i'll make the right face! look! maaaaaaaaaaaaaaaaaa."
2022-08-23 10:24:15+00:00,"Dr. Sparisjóður Giggi Wincest named the group #boycott Löng Hroup Nöfn."
2022-08-23 10:24:19+00:00,"Dr. Sparisjóður Giggi Wincest named the group #boycott Löng Group Nöfn."
2022-08-31 18:54:54+00:00,"Dr. @Arnfinnur ekki mjög hávaxinn Kolbeinsdóttir named the group #Boycott Feelings."
2022-08-31 19:21:39+00:00,"Dr. Vöðvar 'Yummy SlummyTyppagat' Cheesehater🧀🧀 named the group #Boycott Feelings #support Pushi."
2022-11-07 17:44:54+00:00,"Dr. @Arnfinnur ekki mjög hávaxinn Kolbeinsdóttir named the group #Boycott Feelings #BakugoGerirSprengjurFYI."
2022-11-28 16:03:15+00:00,"Dr. @Arnfinnur ekki mjög hávaxinn Kolbeinsdóttir named the group #Boycott Falleinkunn #BakugoGerirSprengjurFYI."
2022-12-13 19:10:44+00:00,"Dr. Doobeasy named the group #Boycott Tölvutek."
2022-12-20 17:00:30+00:00,"Dr. @Arnfinnur ekki mjög hávaxinn Kolbeinsdóttir named the group #Boycott Tölvutek/Icelandair."
2022-12-20 17:24:11+00:00,"Dr. NotSoSoulsLike 💀AFK LOSER 🥉a.k.a LongBalls💀 named the group #Boycott Tölvutek/British Airways."
