date,message
2016-01-18 11:34:18,"Dr. Sefurhjástelpum named the group Bústaðarpep."
2016-01-22 12:23:09,"Dr. Vinnunærbuxur named the group Bústaðarpepsi."
2016-01-22 12:24:02,"Dr. Vöðvar McPabbi named the group BústaðarEynvidurstfu."
2016-01-22 12:24:41,"Dr. Vinnunærbuxur named the group BústaðarWowsorude."
2016-01-22 15:31:28,"Dr. Leaver named the group Bústaðar S A D B O Y S."
2016-02-24 12:18:03,"Dr. ManniBara named the group Bústaðar L A D B O Y S."
2016-02-24 12:20:15,"Dr. Helmingur named the group Bústaðar L U N K B O I S."
2016-02-24 12:25:37,"Dr. ManniBara named the group Boozestaðar L U N K B O I S."
2016-02-24 12:25:37,"Dr. Helmingur named the group Boozestaðar L U N K B O I S."
2016-04-30 20:24:37,"Dr. Cardi-O Grafíkman named the group Boozestaðar D R U N K B O I S."
2016-05-06 14:36:19,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Boozestaðar P E P S I B O Y S."
2016-05-06 15:05:13,"Dr. ManniBara named the group Boozestaðar C O K E B O Y S."
2016-05-07 21:31:43,"Dr. Sefurhjástelpum named the group Bústaður confirmed 20-22."
2016-05-19 18:33:22,"Dr. Cardi-O Grafíkman named the group Bústaður omg guys!! Only 1 day."
2016-05-20 00:27:39,"Dr. Double Digit Boner Maker named the group BÚSTAÐUR Í DAG WOOT WOOT."
2016-05-21 01:23:06,"Dr. Double Digit Boner Maker named the group Lara Croft: Tomb Raider."
2016-05-21 01:23:51,"Dr. Cardi-O Grafíkman named the group Harry Potter: Spoder shizzle."
2016-05-21 01:30:06,"Dr. Double Digit Boner Maker named the group The Lord Of The Rings: The Tomb Towers."
2016-05-21 01:30:31,"Dr. Cardi-O Grafíkman named the group The Lord Of The Rings: The Tomb Towers 2."
2016-05-21 01:30:59,"Dr. Double Digit Boner Maker named the group The Lord Of The Rings: The Tomb Towers."
2016-05-21 01:35:07,"Dr. Double Digit Boner Maker named the group Mústaðut."
2016-05-21 01:35:14,"Dr. Double Digit Boner Maker named the group Mústaður."
2016-05-31 22:47:30,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Mústaður 6.ágúst."
2016-05-31 22:48:50,"Dr. Cardi-O Grafíkman named the group Músetaður 6.ágúst."
2016-07-08 10:17:25,"Dr. Ævar named the group Músetaður 5-7.ágúst."
2016-07-24 20:05:00,"Dr. Vinnunærbuxur named the group Músetaður 5-7.ágúst - Hjalli Legend."
2016-08-15 14:35:36,"Dr. Vinnunærbuxur named the group Músetaður 5-7.ágúst - If harambe🐒👼🏾 and my girl👸😍 both drowning😱🌊 and I can only save one😤😬."
2016-08-15 21:38:50,"Dr. Vöðvar McPabbi named the group Músetaður 5-7.ágúst Þetta nafn var aids."
2016-08-18 15:02:13,"Dr. Cardi-O Grafíkman named the group Back 2 school bois."
2016-08-24 13:29:20,"Dr. Cardi-O Grafíkman named the group Back 2 shape bois."
2016-09-14 15:44:36,"Dr. Vinnunærbuxur named the group Shape 2 back bois."
2016-10-09 22:48:05,"Dr. Helmingur named the group Hard in the paint bois."
2016-10-13 13:26:01,"Dr. ManniBara named the group Hard in the delet."
2016-10-15 18:01:35,"Dr. Cardi-O Grafíkman named the group Hard in the paint."
2016-10-28 00:31:13,"Dr. Cardi-O Grafíkman named the group Hard in the rock."
2016-10-28 09:29:19,"Dr. Sefurhjástelpum named the group Jólabústaður."
2016-11-26 21:51:19,"Dr. Vöðvar McPabbi named the group Jólabústaður ( ͡° ͜ʖ ͡°)."
2016-12-06 10:44:20,"Dr. Helmingur named the group JólaSwissMiss ( ͡° ͜ʖ ͡°)."
2016-12-06 10:44:49,"Dr. Cardi-O Grafíkman named the group JólaSwissMiss ☕️ ( ͡° ͜ʖ ͡°)."
2016-12-10 01:21:52,"Dr. Ævar named the group Getter?MoreLikeShitter ( ͡° ͜ʖ ͡°)."
2016-12-10 01:34:09,"Dr. Helmingur named the group Ægir? More like Faggit #noboozesteð ( ͡° ͜ʖ ͡°)."
2016-12-11 17:50:09,"Dr. Double Digit Boner Maker named the group Bústaður? smh."
2016-12-14 19:48:02,"Dr. Sefurhjástelpum named the group Bústaður? 27-29."
2016-12-14 19:48:18,"Dr. Ævar named the group Bústaður - 27-29."
2016-12-14 19:48:31,"Dr. Ævar named the group Bústaður 27-29."
2016-12-19 11:20:28,"Dr. Helmingur named the group Cuckstaður 27-29."
2016-12-25 15:21:00,"Dr. Helmingur named the group Cuckstaður Núna-29."
2016-12-26 20:06:52,"Dr. Sefurhjástelpum named the group Well gg."
2016-12-26 23:17:17,"Dr. Vöðvar McPabbi named the group Lausir í brunch 28?"
2016-12-28 15:21:43,"You named the group Imo Tbh Rip Brauð."
2016-12-31 14:26:06,"Dr. Ævar named the group Cuckbois."
2016-12-31 14:26:36,"Dr. ManniBara named the group Bois."
2016-12-31 14:26:48,"Dr. Helmingur named the group Áramótabois."
2017-01-02 01:17:39,"Dr. Helmingur named the group >:l 2017 Bois >:l."
2017-01-02 01:50:15,"Dr. Vöðvar McPabbi named the group >:l >:l >:l >:l."
2017-01-06 21:24:05,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group >:l Hard Rock Kl 8 >:|."
2017-01-06 21:24:50,"Dr. Cardi-O Grafíkman named the group >:l Hard Rock Kl 8 >:| svo ætlum við að deija 😎😵."
2017-01-10 21:32:28,"Dr. Cardi-O Grafíkman named the group Brunch 28. des búið að panta borð fyrir 13."
2017-01-13 13:02:03,"Dr. Sefurhjástelpum named the group Kaffi hjá jóa 13:00."
2017-01-13 18:26:49,"Dr. Vinnunærbuxur named the group Bjöllara Tjattið."
2017-01-13 19:12:31,"Dr. Cardi-O Grafíkman named the group Bjöllara Tjattið cuck haha mememe."
2017-01-13 19:13:26,"Dr. Cardi-O Grafíkman named the group the bois that will die soon."
2017-01-16 16:32:41,"Dr. Vöðvar McPabbi named the group Goon Squad."
2017-01-16 16:33:23,"Dr. Vöðvar McPabbi named the group Paul Blart And The Memesquad."
2017-01-19 12:00:55,"Dr. Helmingur named the group Paul Bloobs And The Oatsquad."
2017-01-23 10:54:52,"Dr. Vöðvar McPabbi named the group Engin Getter Gifs."
2017-01-23 11:03:09,"Dr. Helmingur named the group Getter ferð 2k17."
2017-01-23 11:03:50,"Dr. Cardi-O Grafíkman named the group Better ferð 2k17."
2017-01-27 13:27:55,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Getter ferð 2k17."
2017-01-27 13:28:17,"Dr. Ævar named the group Rif ferð 2k17."
2017-01-30 13:17:08,"Dr. Ævar named the group Rif ferð 2k17 - Planað á ts."
2017-01-30 20:19:44,"Dr. ManniBara named the group Rip ferð 2k17 - Planað á ts."
2017-01-30 20:53:45,"Dr. Vöðvar McPabbi named the group YEBOIII Ferð 2k17."
2017-01-31 09:01:33,"Dr. Sefurhjástelpum named the group YEBOIII Ferð 2k17 9-17 agust??"
2017-02-10 22:25:59,"Dr. Sefurhjástelpum named the group YEBOIII Ferð 2k17 7-17 agust??"
2017-02-11 18:53:09,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Kartöfluboiisar 2k17 Ferð 7-17."
2017-02-11 18:53:17,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Kartöfluboiisar 2k17 Ferð 7-17 Águst."
